gene,organ_system,evidence_sources,safetyome_scaled_score,tau_score_percentile,conservation_score_percentile,safetyome_scaled_score_percentile,median_tau_conservation_score,median_all_scores
PRPF8,Eye disorders,"Clinvar(2), DisGenet(3), Diseases(1), HPO(24), OpenTargets(4)",2.21,0.06827558262321652,0.997010142187078,0.9725118286422866,0.5326428624051472,0.9725118286422866
EZH2,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(9), Diseases(2), DrugBank(1), HPO(1), OpenTargets(164), TTD(1)",5.78,0.6835784975811007,0.9721765182583925,0.9993314998649144,0.8278775079197466,0.9721765182583925
KCNC1,Nervous system disorders,"Clinvar(1), DisGenet(12), Diseases(2), DrugBank(1), HPO(12), OpenTargets(3)",2.19,0.9519719555020751,0.9944316200486235,0.9719056756700588,0.9732017877753494,0.9719056756700588
TSHR,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(2), Diseases(2), DrugBank(1), OpenTargets(120), TTD(1)",4.76,0.9718879693524226,0.2242270572923062,0.9980914840702999,0.5980575133223645,0.9718879693524226
HOXC13,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(1), HPO(2), OpenTargets(57)",2.72,0.9715871417696029,0.9696593895041871,0.9838486210885815,0.9706232656368949,0.9715871417696029
RPGRIP1,"Congenital, familial and genetic disorders","Clinvar(3), DisGenet(7), Diseases(3), HPO(37), OpenTargets(7)",3.09,0.9713231502173326,0.1834127354436286,0.9887047723289436,0.5773679428304807,0.9713231502173326
C11orf65,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","DisGenet(27), GWAS(4), OpenTargets(27)",2.66,0.9710468799882125,0.2291446673706442,0.9829134136457157,0.6000957736794283,0.9710468799882125
ITPR1,Nervous system disorders,"Clinvar(3), DisGenet(14), Diseases(3), DrugBank(1), HPO(50), OpenTargets(9)",3.94,0.5093502124211094,0.9709425112349893,0.995410556067418,0.7401463618280494,0.9709425112349893
RAG2,Immune system disorders,"Clinvar(2), DisGenet(8), Diseases(2), HPO(13), OpenTargets(9)",2.21,0.9708995358660151,0.6373001645342697,0.9725118286422866,0.8040998502001424,0.9708995358660151
KCNJ1,Metabolism and nutrition disorders,"Clinvar(3), DisGenet(1), Diseases(2), DrugBank(5), HPO(17), OpenTargets(2)",2.14,0.9871994793841016,0.6329719309447214,0.970644877487825,0.8100857051644115,0.970644877487825
SP7,Musculoskeletal and connective tissue disorders,"Clinvar(2), DisGenet(1), Diseases(1), GWAS(1), HPO(22), OpenTargets(3)",2.14,0.9871994793841016,0.1980734756022691,0.970644877487825,0.5926364774931854,0.970644877487825
GJB1,Nervous system disorders,"Clinvar(3), DisGenet(12), Diseases(5), HPO(51), OpenTargets(15)",3.92,0.7709842587362786,0.9704145281304487,0.9952858617417026,0.8706993934333637,0.9704145281304487
GRM3,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Diseases(1), GWAS(1), OpenTargets(76)",3.2,0.970279462685101,0.4742577539844307,0.9897473554411754,0.7222686083347658,0.970279462685101
SMAD4,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Clinvar(3), DisGenet(20), Diseases(4), HPO(20), OpenTargets(176)",6.13,0.1502603079492154,0.9701321185629037,0.999535860009837,0.5601962132560595,0.9701321185629037
F2,Vascular disorders,"Clinvar(1), DisGenet(6), Diseases(3), DrugBank(13), GWAS(2), HPO(24), OpenTargets(6), PheGenI(4)",3.56,0.9700216104712556,0.4164129073451045,0.9928751047778709,0.69321725890818,0.9700216104712556
PRKCG,Nervous system disorders,"Clinvar(1), DisGenet(1), Diseases(2), HPO(25), OpenTargets(3)",2.11,0.9266042091304241,0.9754733429925592,0.9698170457143253,0.9510387760614916,0.9698170457143253
PRPF31,Eye disorders,"Clinvar(2), DisGenet(3), Diseases(1), HPO(23), OpenTargets(3)",2.11,0.03423295105719407,0.9857444561774024,0.9698170457143253,0.5099887036172982,0.9698170457143253
MOG,Psychiatric disorders,"Clinvar(1), DisGenet(1), Diseases(1), GWAS(4), HPO(24), OpenTargets(1)",2.24,0.9697944549495346,0.1006605928145183,0.9731872562399119,0.5352275238820264,0.9697944549495346
GRIN2B,Nervous system disorders,"Clinvar(2), DisGenet(20), Diseases(3), DrugBank(2), HPO(25), OpenTargets(19), TTD(1)",3.86,0.969548881412539,0.9618378723508755,0.9949394886147153,0.9656933768817073,0.969548881412539
CACNB4,Nervous system disorders,"Clinvar(5), DisGenet(3), Diseases(2), DrugBank(3), HPO(30), OpenTargets(7)",3.0,0.864688981115395,0.9695243240588394,0.9877418550359189,0.9171066525871172,0.9695243240588394
EIF1AX,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Diseases(1), OpenTargets(55)",2.22,0.1432737408216891,0.9693831192750669,0.9729621137073702,0.556328430048378,0.9693831192750669
SF3B4,"Congenital, familial and genetic disorders","Clinvar(1), DisGenet(4), Diseases(3), GWAS(1), HPO(53), OpenTargets(5)",3.57,0.1017472557157241,0.9692234964760198,0.9929443794032684,0.535485376095872,0.9692234964760198
F9,Blood and lymphatic system disorders,"Clinvar(3), DisGenet(4), Diseases(1), DrugBank(8), HPO(5), OpenTargets(8)",2.09,0.9871994793841016,0.4271076348812652,0.9690654160287628,0.7071535571326834,0.9690654160287628
SPTBN1,Nervous system disorders,"Clinvar(1), GWAS(2), HPO(64), OpenTargets(7)",3.39,0.3087903047567594,0.9687937427862774,0.9915796692829384,0.6387920237715183,0.9687937427862774
OLIG2,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Diseases(1), OpenTargets(50)",2.08,0.9871994793841016,0.7436396453918126,0.9687190429017755,0.865419562387957,0.9687190429017755
RPS6KA3,Musculoskeletal and connective tissue disorders,"Clinvar(1), DisGenet(17), Diseases(1), DrugBank(5), HPO(36), OpenTargets(13)",3.75,0.2455673976572285,0.968535890572432,0.9942848434047092,0.6070516441148301,0.968535890572432
